name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Tom Hanks,1956-07-09,USA
Robert Downey Jr,1965-04-04,USA
Chris Evans,1981-06-13,USA
Brad Pitt,1963-12-18,USA
Matthew McConaughey,1969-11-04,USA
Morgan Freeman,1937-06-01,USA
Scarlett Johansson,1984-11-22,USA
Zendaya Coleman,1996-09-01,USA
Johnny Depp,1963-06-09,USA
Wagner Moura,1976-06-27,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Bruno Gagliasso,1982-04-13,BRAZIL
Cauã Reymond,1980-05-20,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Giovanna Antonelli,1976-03-18,BRAZIL
Mariana Ximenes,1981-04-26,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Willem Dafoe,1955-07-22,USA